index,case-name,Porosity,Eff. Porosity,K(x)[D],K(y)[D],K(z)[D],M. time[s],S. Time[s]
0,1.0,0.165296889,0.165386132,3.7,7.8839999999999995,10.6643,159.0,41.0
2,3.0,0.08272355599999999,0.082273762,1.2286,1.0239,1.8307,90.0,25.0
3,4.0,0.078402074,0.075734967,0.0218,1.0629,1.0502,107.0,25.0
4,5.0,0.083529185,0.08106265,0.4509,2.9387,0.2535,103.0,25.0
5,6.0,0.089185481,0.08430971,0.4885,0.6416,0.0553,146.0,30.0
6,7.0,0.089725926,0.08633144,0.2144,0.2295,0.1279,223.0,42.0
7,8.0,0.08355792599999999,0.062373885,0.0961,0.109,0.0,116.0,13.0
8,9.0,0.08437096300000001,0.075621995,0.08199999999999999,0.0878,0.0933,251.0,47.0
9,10.0,0.11109837,0.099538236,0.2324,0.1867,0.1696,319.0,54.0
10,11.0,0.128028741,0.095132014,0.2364,0.0903,0.099,204.0,15.0
11,12.0,0.146391407,0.131040132,0.0656,0.0731,0.1296,457.0,78.0
12,13.0,0.116591111,0.102780034,0.1747,0.1289,0.0922,356.0,60.0
13,14.0,0.12242370400000001,0.104715216,0.1862,1.0407,0.0924,115.0,13.0
14,15.0,0.126558519,0.081186146,0.0,2.2347,0.0,66.0,10.0
15,16.0,0.11282340699999999,0.08595591300000001,0.0,3.7516,0.0,58.0,10.0
17,18.0,0.11136711099999999,0.12199403800000001,0.9955,2.5298,0.0,88.0,26.0
19,20.0,0.086657185,0.085909896,0.0421,0.1916,0.5155,87.0,26.0
21,22.0,0.12785837,0.128316054,0.2977,0.3662,1.2402,163.0,41.0
22,23.0,0.15424859300000002,0.154775327,0.6591,7.5464,1.5386,194.0,44.0
23,24.0,0.147906963,0.14599401,0.5382,18.9676,0.5764,173.0,42.0
24,25.0,0.133125926,0.128711286,0.1737,18.3057,0.1671,146.0,38.0
25,26.0,0.11405807400000001,0.080149585,0.0668,2.2331,0.0,166.0,23.0
26,27.0,0.118285037,0.11411793099999999,0.2825,0.4086,0.1861,286.0,51.0
27,28.0,0.13685303699999998,0.131307725,0.4706,0.5772,1.7083,358.0,66.0
28,29.0,0.134354074,0.114017164,0.3202,0.107,1.7186,189.0,17.0
29,30.0,0.125101926,0.10854135300000001,0.0347,0.0734,1.1957,360.0,66.0
30,31.0,0.10534133300000001,0.09576304199999999,0.0,0.1048,0.0931,242.0,51.0
31,32.0,0.128927704,0.110875125,0.0059,0.2931,0.1017,97.0,12.0
32,33.0,0.162921185,0.154066597,4.2063,23.9058,0.0,151.0,34.0
34,35.0,0.135453333,0.129685371,2.8291,2.5617,0.0,113.0,27.0
36,37.0,0.08677333300000001,0.07225838,0.1438,0.4109,0.4496,126.0,29.0
38,39.0,0.104893037,0.10250785,0.2043,0.755,0.8557,116.0,28.0
39,40.0,0.145858963,0.14605111199999998,0.3511,1.4361,3.0466,149.0,37.0
40,41.0,0.168026963,0.168916349,0.2335,6.9443,9.4215,139.0,39.0
41,42.0,0.162001185,0.160334327,0.07200000000000001,29.7687,1.601,138.0,33.0
42,43.0,0.152073185,0.147038632,0.0,36.5964,0.381,107.0,29.0
43,44.0,0.118392296,0.11482778099999999,0.0677,2.5518,0.0024,116.0,30.0
44,45.0,0.11780622199999999,0.115989965,0.3065,0.3984,0.2682,169.0,37.0
45,46.0,0.11143763,0.101977254,0.5322,0.4914,0.1559,127.0,15.0
46,47.0,0.10009837,0.084811644,0.3464,0.1067,0.0,112.0,15.0
47,48.0,0.092288889,0.05342954900000001,0.0,0.0008,0.0,83.0,10.0
49,50.0,0.19409155600000003,0.18900600399999998,0.271,0.0008,3.127,163.0,41.0
54,55.0,0.09794163,0.096940341,0.2816,0.1759,0.532,94.0,29.0
56,57.0,0.14348296300000002,0.142779531,0.7643,2.3462,0.904,141.0,49.0
57,58.0,0.135694519,0.134720381,0.4686,1.646,2.242,135.0,35.0
58,59.0,0.13949837,0.13697533,0.0372,3.9163,1.7982,113.0,38.0
59,60.0,0.142830815,0.12635780800000002,0.0,19.9879,0.5665,107.0,28.0
60,61.0,0.161691259,0.140009548,0.0,35.0396,5.5617,96.0,27.0
61,62.0,0.128720593,0.126472011,0.0555,2.5047,6.1610000000000005,97.0,28.0
62,63.0,0.106082074,0.10386697800000001,0.1455,0.3443,5.8637,111.0,29.0
63,64.0,0.07498548099999999,0.070782922,0.08900000000000001,0.2192,0.1447,144.0,30.0
64,65.0,0.061209778,0.034797773,0.0293,0.0,0.0,58.0,10.0
65,66.0,0.065096593,0.020180794,0.0,0.0,0.0,48.0,7.0
66,67.0,0.140157926,0.12954317699999998,6.1416,0.0,6.2374,75.0,11.0
67,68.0,0.19681511100000001,0.19656579600000001,9.5209,0.0,21.4874,143.0,34.0
68,69.0,0.195384,0.19521999199999998,9.0438,1.0406,22.5893,124.0,39.0
69,70.0,0.095591704,0.09312293699999999,0.4181,0.4539,7.1101,74.0,20.0
71,72.0,0.141512,0.14239101699999998,10.4043,0.818,34.4707,74.0,24.0
73,74.0,0.13438044400000002,0.133532445,0.3424,1.2002,1.5457,119.0,33.0
75,76.0,0.105688,0.104725964,0.3224,0.8459,1.88,90.0,25.0
76,77.0,0.11945629599999999,0.105655711,0.0,1.7558,1.7318,84.0,25.0
77,78.0,0.130085037,0.092045062,0.0,3.3917,0.6059,52.0,12.0
78,79.0,0.147704889,0.143505056,0.1212,5.2668,3.2782,113.0,33.0
79,80.0,0.116219556,0.112822511,0.1788,1.2284,4.3661,91.0,27.0
80,81.0,0.09283851900000001,0.089423095,0.1781,0.2535,4.3253,80.0,23.0
81,82.0,0.080902222,0.071650305,0.5058,0.2527,0.2125,76.0,21.0
82,83.0,0.08967674099999999,0.081256235,0.4675,0.1023,0.0743,80.0,21.0
