index,case-name,Porosity,Eff. Porosity,K(x)[D],K(y)[D],K(z)[D],M. time[s],S. Time[s]
714,1461.0,0.127202407,0.126083246,1.3028,5.1002,2.5419,430.0,42.0
715,1463.0,0.139317481,0.138780994,3.6364,4.6281,2.6241,406.0,42.0
716,1465.0,0.148906704,0.147691476,7.3456,5.9346,8.0498,402.0,49.0
717,1467.0,0.151387852,0.150846377,8.3767,7.9235,12.7241,460.0,47.0
718,1469.0,0.143387519,0.142404211,3.1127,10.234,11.3971,470.0,46.0
719,1471.0,0.132862444,0.13236519800000002,3.6978,4.3806,5.827999999999999,396.0,41.0
720,1473.0,0.13385403699999998,0.133424868,1.9584,8.8014,5.6855,405.0,42.0
721,1475.0,0.12571637,0.124941275,2.633,5.553,3.1195,436.0,40.0
722,1477.0,0.134941778,0.134619352,5.447,5.1974,3.6149,398.0,41.0
723,1479.0,0.155604926,0.155244117,8.9786,9.2155,8.5164,447.0,48.0
724,1481.0,0.138441,0.137524576,6.7469,5.8811,6.3865,416.0,43.0
