case-name,P,EP,KX,KY,KZ,c1,p1,ep1,kx1,ky1,kz1,c2,p2,ep2,kx2,ky2,kz2,c3,p3,ep3,kx3,ky3,kz3,c4,p4,ep4,kx4,ky4,kz4,c5,p5,ep5,kx5,ky5,kz5,c6,p6,ep6,kx6,ky6,kz6,c7,p7,ep7,kx7,ky7,kz7,c8,p8,ep8,kx8,ky8,kz8
23.0,0.205092741,0.203592936,2.2728,2.8175,2.8047,26,0.214898074,0.213251754,5.3332,2.3236,2.2108,29,0.244262519,0.242344414,1.1891,1.4668,1.505,80,0.195660444,0.192962803,2.4951,4.0131,5.746,83,0.194670222,0.193229277,1.2658,3.4819,1.79,998,0.209404444,0.20860611,3.5783,2.0648,2.8017,1001,0.19924148100000005,0.197832605,0.4978,3.9746,2.8595,1052,0.19792,0.19707056,2.9714,2.6386,7.9321,1055,0.184684741,0.18221013100000005,1.7392,1.0729,1.1765
25.0,0.216295667,0.214713373,1.7755,3.8862,1.9445,28,0.263295407,0.262909916,7.7547,7.2032,2.083,31,0.262061926,0.25889489600000004,0.6359,7.2381,28.3539,82,0.179442667,0.177915995,0.7264,2.4239,2.4612,85,0.24857392600000006,0.247971712,2.3141,5.1468,1.0164,1000,0.195160889,0.192482672,1.1782,2.7745,2.5468,1003,0.21786548100000006,0.216036882,1.4798,3.8823,1.7098,1054,0.162480593,0.160262574,1.1191,0.8608,1.1162,1057,0.201484444,0.199296445,2.443,2.9134,2.2889
27.0,0.218898593,0.21759532,2.2093,3.1598,2.1326,30,0.261473481,0.26088785,0.7531,1.2839,28.5114,33,0.191914667,0.19159460600000006,3.8609,2.0669,1.1028,84,0.226537185,0.224948607,2.1602,2.0558,0.8326,87,0.234713778,0.234261751,2.1363,2.7349,2.8493,1002,0.206981037,0.20403272600000005,0.5046,4.2537,1.4627,1005,0.210344593,0.208746692,1.2474,5.4942,3.5709,1056,0.193429333,0.190353856,2.1512,1.5199,0.8862,1059,0.225794667,0.223283559,1.2817,4.1506,3.9338
29.0,0.235479111,0.234251034,4.8627,4.4812,3.7261,32,0.263362667,0.263190945,6.5172,8.5295,23.16,35,0.177361778,0.175580431,2.3221,4.5811,2.2501,86,0.253073778,0.252357332,1.6104,8.9668,2.8279,89,0.261122074,0.261021087,8.1395,2.9989,11.5406,1004,0.240369185,0.238957357,2.2075,4.6666,3.9157,1007,0.198982222,0.191886871,4.5198,4.1602,4.0382,1058,0.22055674100000006,0.218535005,2.247,4.3779,4.1325,1061,0.269004444,0.26610087600000004,10.9152,13.4126,10.1322
31.0,0.213827185,0.212026788,2.6721,3.9504,3.9961,37,0.193740444,0.190992241,2.7209,2.8483,2.0804,40,0.21106963,0.210234331,0.9223,3.193,7.2153,91,0.211296593,0.21042243,1.2087,2.5029,1.8494,94,0.166941926,0.164387415,0.8683,1.0629,0.7689,1009,0.235017185,0.234553564,5.8483,6.0181,5.0001,1012,0.269916741,0.269687953,5.3566,6.3515,9.0897,1063,0.17981925899999998,0.176408327,2.8498,6.1615,2.7345,1066,0.242815704,0.24046471,0.999,7.185,4.1826
33.0,0.221827222,0.220650461,2.8028,3.6446,5.0086,39,0.199912296,0.198647202,1.0094,0.9081,6.3649,42,0.190368593,0.188662275,2.3916,2.274,2.8596,93,0.173517037,0.169943056,0.7665,1.7269,1.1165,96,0.223976889,0.221605369,1.4047,3.5483,3.9883,1011,0.286183407,0.286773151,4.86,10.6413,11.5433,1014,0.228871407,0.227710782,3.4314,4.2126,3.4606,1065,0.229265481,0.228196125,3.2275,7.9166,6.2259,1068,0.242522667,0.240353137,2.1552,3.2625,5.1320000000000014
35.0,0.211588889,0.210289307,3.0603,2.9059,3.9616,41,0.226176,0.225050494,1.3818,2.6392,5.3922,44,0.205384889,0.203139188,5.0776,2.0521,3.6377,95,0.18330963,0.180665824,1.3233,1.1291,1.7829,98,0.222953481,0.206942597,3.2264,5.632999999999999,5.2429,1013,0.203675259,0.200914256,1.8027,3.588,3.8192,1016,0.202543407,0.202105857,4.0312,1.6033,5.0343,1067,0.228115259,0.226439964,0.8903,3.6408,2.9187,1070,0.220553185,0.219687556,3.6311,2.6698,5.3709
37.0,0.209351148,0.20806134,2.6365,2.9307,3.9548,43,0.165679704,0.16335287,2.4938,1.6368,2.3334,46,0.271396148,0.271261292,8.0367,16.2236,7.1610000000000005,97,0.241660741,0.241302032,3.3191,3.8132,5.9165,100,0.200337185,0.199939264,2.1072,3.3132,3.2822,1015,0.223165926,0.222378701,4.5618,3.6128,5.6125,1018,0.157127407,0.153657443,0.4634,0.5188,0.7164,1069,0.239783704,0.23886252,4.5313,4.0818,5.8982,1072,0.17565837,0.17070582199999998,1.0507,0.87,1.5472
39.0,0.204727889,0.202715882,1.7082,2.5823,2.0677,45,0.228910519,0.216427046,6.9138,3.4346,6.0591,48,0.219981926,0.216715912,3.7519,4.6911,4.7195,99,0.21827763,0.216635298,3.0957,6.7024,4.7291,102,0.221479704,0.221333297,2.1686,2.9294,1.2484,1017,0.17507763,0.17291273899999998,0.3961,0.763,0.6385,1020,0.172454222,0.160895266,0.567793284,0.890627139,0.773486916,1071,0.193811556,0.192172499,1.88,0.8326,1.5915,1074,0.20782992600000005,0.206547585,2.924,1.8338,2.6923
41.0,0.213673074,0.21228173,2.1891,2.5414,2.2795,47,0.231675852,0.216112428,2.3236,6.6238,3.7741,50,0.204806222,0.202030747,1.9892,1.7237,0.9543,101,0.212755259,0.212691935,3.2677,2.6921,2.9954,104,0.247314074,0.246357195,2.1679,10.7455,2.6239,1019,0.17825363,0.171098522,0.5047872870000001,1.007110194,0.80889185,1022,0.207486815,0.205849137,2.0964,2.2129,2.9322,1073,0.191792889,0.189717889,1.6756,1.0695,1.4,1076,0.235299852,0.230729952,3.0549,3.0659,3.5767
