case-name,P,EP,KX,KY,KZ,c1,p1,ep1,kx1,ky1,kz1,c2,p2,ep2,kx2,ky2,kz2,c3,p3,ep3,kx3,ky3,kz3,c4,p4,ep4,kx4,ky4,kz4,c5,p5,ep5,kx5,ky5,kz5,c6,p6,ep6,kx6,ky6,kz6,c7,p7,ep7,kx7,ky7,kz7,c8,p8,ep8,kx8,ky8,kz8
23.0,0.127591185,0.120455136,0.5745,3.2258,0.9627,26,0.114058074,0.080149585,0.0668,2.2331,0.0,29,0.134354074,0.114017164,0.3202,0.107,1.7186,80,0.116219556,0.112822511,0.1788,1.2284,4.3661,83,0.08967674099999999,0.081256235,0.4675,0.1023,0.0743,998,0.08854933300000001,0.078445609,0.2262,0.4463,0.0542,1001,0.115921778,0.107627952,0.7558,2.3724,0.3363,1052,0.198936593,0.199585459,7.0518,17.3699,1.4921,1055,0.163013333,0.16116733800000002,1.9929,5.2387,4.7138
25.0,0.12885063,0.124509814,0.4832,0.397,1.1249,28,0.13685303699999998,0.131307725,0.4706,0.5772,1.7083,31,0.105341333,0.095763042,0.0,0.1048,0.0931,82,0.080902222,0.071650305,0.5058,0.2527,0.2125,85,0.13414577800000002,0.124549594,5.5628,0.0037,1.6981,1000,0.11319437,0.109845395,0.8713,0.4761,0.4953,1003,0.115770074,0.097174457,0.1555,0.2235,0.505,1054,0.214938074,0.215776536,7.2695,6.0652,13.1975,1057,0.129660148,0.125628924,0.0113,0.0391,1.5097
27.0,0.133992852,0.12747531,0.5904,0.4047,1.2291,30,0.125101926,0.108541353,0.0347,0.0734,1.1957,33,0.162921185,0.154066597,4.2063,23.9058,0.0,84,0.096365926,0.07320301900000001,0.0003,0.0027,0.0003,87,0.166327704,0.166087025,7.4859,3.0955,7.8321,1002,0.110876741,0.107732191,0.362,0.2222,0.3818,1005,0.218805037,0.219366094,13.4854,5.6469,2.2671,1056,0.145700148,0.14408726800000002,0.0114,4.1991,2.3722,1059,0.045844148,0.027112694,0.0038,0.0,0.0066
29.0,0.127674815,0.124298517,1.4992,0.5897,1.4001,32,0.128927704,0.110875125,0.0059,0.2931,0.1017,35,0.135453333,0.129685371,2.8291,2.5617,0.0,86,0.17353688899999994,0.17252718,8.1641,0.0258,7.8487,89,0.058569778,0.056193262,0.3755,0.8564,0.1286,1004,0.161801481,0.156142405,0.2545,0.3798,1.2545,1007,0.173906074,0.172906737,3.2079,8.3934,4.4212,1058,0.087563556,0.035233648,0.0,0.0,0.3432,1061,0.101639704,0.100060883,2.6887,0.6055,3.1572
31.0,0.10953737,0.107830268,0.2852,0.6055,0.9546,37,0.08677333300000001,0.07225838,0.1438,0.4109,0.4496,40,0.145858963,0.14605111199999998,0.3511,1.4361,3.0466,91,0.118404741,0.117120799,0.0151,0.2734,1.4031,94,0.099287111,0.098727394,0.3085,0.55,1.232,1009,0.096024593,0.091252694,0.0,0.2975,2.5529,1012,0.083553185,0.073523459,0.3602,0.0634,0.0448,1063,0.179181333,0.178822901,0.7127,0.9846,0.9914,1066,0.067215704,0.064660744,0.1316,0.2626,0.1283
33.0,0.115563222,0.114133973,0.1526,1.1705,1.7488,39,0.104893037,0.10250785,0.2043,0.755,0.8557,42,0.162001185,0.160334327,0.07200000000000001,29.7687,1.601,93,0.104818667,0.104079485,0.3613,0.6039,0.8165,96,0.14308148099999998,0.140975795,0.0029,5.2159,0.6333,1011,0.089896,0.081367415,0.0,0.8418,0.8421,1014,0.111811556,0.110587378,0.8279,0.5759,1.7615,1065,0.118956148,0.08352607599999999,0.0,0.2417,2.4386,1068,0.089047704,0.087666384,0.1889,2.5049,3.9714
35.0,0.12045937,0.117234144,0.3572,2.6894,2.5526,41,0.168026963,0.168916349,0.2335,6.9443,9.4215,44,0.118392296,0.114827781,0.0677,2.5518,0.0024,95,0.124578667,0.121863583,0.0029,9.0806,2.9062,98,0.127642074,0.125313186,0.4662,2.2985,3.483,1013,0.106410963,0.105472538,0.8174,0.0598,1.7648,1016,0.105459259,0.08548353800000001,0.0,6.8015,0.0559,1067,0.079608296,0.078447512,0.1914,0.1509,2.4606,1070,0.133556444,0.131940321,6.6534,6.9351,1.1425
37.0,0.128200704,0.12523321,0.9294,4.0646,1.4894,43,0.152073185,0.147038632,0.0,36.5964,0.381,46,0.11143763,0.101977254,0.5322,0.4914,0.1559,97,0.15090577800000002,0.147403634,0.2104,3.2591,2.2177,100,0.102495407,0.101289797,1.8249,3.0339,0.491,1015,0.116676741,0.107043166,2.8436,6.3724,0.8171,1018,0.136280593,0.135323865,0.8220000000000001,3.2008,0.6175,1069,0.090707556,0.08873384599999999,0.0,2.9691,2.3614,1072,0.165028741,0.165240579,4.1673,6.4479,5.7594
39.0,0.129046333,0.122039653,1.0887,3.6102,1.5104,45,0.117806222,0.115989965,0.3065,0.3984,0.2682,48,0.092288889,0.053429549000000014,0.0,0.0008,0.0,99,0.112278815,0.110898414,0.4558,3.2067,3.2331,102,0.144760889,0.138447654,0.0003,11.8455,0.0003,1017,0.13157896300000002,0.12686724300000002,0.0535,4.2499,0.2212,1020,0.127069926,0.122731302,0.732,1.2706,0.5513,1071,0.17439911100000002,0.174928802,29.1199,15.6278,5.0642,1074,0.132187852,0.131430886,0.0112,4.2463,0.5024
41.0,0.13595437,0.132716712,0.9575,1.9198,2.1592,47,0.10009837,0.084811644,0.3464,0.1067,0.0,50,0.19409155600000005,0.189006004,0.271,0.0008,3.127,101,0.125789926,0.125354613,1.6798,2.7186,0.2395,104,0.149263111,0.14814707300000002,0.8352,3.3794,3.5136,1019,0.132652444,0.129548775,0.8045,4.0279,0.5468,1022,0.141609481,0.12574760599999998,0.1335,0.7288,0.9508,1073,0.156649185,0.155442631,1.4332,6.1232,3.4245,1076,0.087480889,0.08625105,0.1322,1.2768,0.2798
91.0,0.126027556,0.118446641,3.0863,6.2826,3.0838,109,0.086729481,0.084477544,0.0222,0.2412,1.1707,112,0.092369481,0.058840869,0.0,0.0,0.009000000000000001,163,0.15386163,0.15415056900000002,18.3224,22.3411,3.5188,166,0.213037037,0.214847237,25.6922,3.5281,0.0702,1081,0.162453037,0.162348555,0.6361,0.8628,0.1522,1084,0.06239437,0.055382196,0.0,1.2041,0.1463,1135,0.100502519,0.101018285,2.0234,1.3358,0.1321,1138,0.136872889,0.136581218,4.376,7.0575,4.0166
93.0,0.116157111,0.100996312,2.6385,3.5923,4.1864,111,0.06801748099999999,0.058363007,0.0,0.4473,0.6719,114,0.132662519,0.131616745,0.0031,5.2274,0.0962,165,0.262148148,0.264179585,21.4087,69.2157,0.0032,168,0.067977185,0.066671277,0.0711,0.1912,0.094,1083,0.101004444,0.086343644,0.0,1.2332,1.1446,1086,0.085777481,0.084500273,0.7207,1.6112,1.0022,1137,0.112608593,0.111855704,2.1369,6.5289,4.1232,1140,0.099061037,0.098019224,0.3162,2.0378,1.852
95.0,0.115551333,0.114104184,2.5553,2.6467,2.2639,113,0.12545777800000002,0.104527788,0.003,0.3344,0.0091,116,0.110649185,0.107346476,0.4985,2.3055,0.0864,167,0.141185778,0.140549213,22.7315,0.193,0.2242,170,0.154694519,0.153233586,0.7605,7.1534,0.1787,1085,0.08097451900000001,0.076698303,0.4506,3.6587,3.112,1088,0.103744593,0.101616731,5.4927,3.2867,1.1683,1139,0.125183704,0.124798153,3.0148,2.3852,2.5543,1142,0.082520593,0.080557469,0.6613,2.9566,3.8552
97.0,0.112716889,0.111496576,0.7929,1.8371,1.6035,115,0.13105096300000002,0.128242158,0.2392,3.2541,0.0865,118,0.11525363,0.114452703,2.1762,2.3058,3.301,169,0.104726222,0.103568259,0.2388,0.221,0.2328,172,0.112703407,0.10612831,1.983,1.3147,0.0,1087,0.096745481,0.09531765,1.3707,1.5379,1.8685,1090,0.129220444,0.109929927,1.4935,2.3148,4.1455,1141,0.08188563,0.08023882,2.5715,1.9325,1.0339,1144,0.130149333,0.129122193,2.3755,0.3303,0.0498
