case-name,Porosity,Eff. Porosity,K(x)[D],K(y)[D],K(z)[D],M. time[s],S. Time[s]
1377.0,0.22165100000000001,0.22018075899999998,2.3748088,2.516375,3.9704025,1377.0,1377.0
1379.0,0.21987029600000002,0.2176452,1.7069398,2.28242,4.641645,1379.0,1379.0
1381.0,0.204093852,0.202767148,2.7687573,3.9482703,2.5770612,1381.0,1381.0
1383.0,0.204910481,0.203793841,3.0494735,3.3646832,2.874821,1383.0,1383.0
1385.0,0.20273951899999998,0.20132478899999998,2.6108441,3.7453198,2.4506772,1385.0,1385.0
1387.0,0.22271940699999998,0.22171317899999998,2.9256115,4.513069,2.355235,1387.0,1387.0
1389.0,0.215689926,0.214717529,3.2798119,2.6934068,3.5002985,1389.0,1389.0
1391.0,0.217416815,0.21628735899999998,2.8570664,2.5323615,2.421537,1391.0,1391.0
1393.0,0.23089570399999998,0.22987407699999998,5.7133255,2.4991353,8.34805,1393.0,1393.0
1395.0,0.23092522199999999,0.22984082399999997,3.0128932,5.327691,7.444551,1395.0,1395.0
1397.0,0.19321766699999998,0.190446824,2.9032433,3.260244,3.1262395,1397.0,1397.0
1403.0,0.22190300000000002,0.220913716,3.7436495,2.8527591,4.1253314,1403.0,1403.0
1441.0,0.20227763,0.201033823,3.4220598,3.579325,2.4776506,1441.0,1441.0
1443.0,0.19221866699999998,0.19111188899999998,3.398355,2.5618322,2.121166,1443.0,1443.0
1445.0,0.194346778,0.192879852,4.098494,2.8658557,2.1119456,1445.0,1445.0
1447.0,0.212624185,0.21150997800000002,2.8785462,2.5958252,3.1153116,1447.0,1447.0
1449.0,0.21989488899999998,0.218015142,3.6143396,4.4601235,3.738058,1449.0,1449.0
1451.0,0.21196092600000002,0.209973401,2.9415917,3.58299,2.9412024,1451.0,1451.0
1453.0,0.206524037,0.204849632,2.0690978,2.920839,4.284699,1453.0,1453.0
1455.0,0.211039704,0.21006069100000002,3.4419842,3.8627434,4.060409,1455.0,1455.0
1457.0,0.198675778,0.197161206,3.218553,3.0107517,2.3105993,1457.0,1457.0
1459.0,0.188125519,0.18672800399999998,2.5590684,2.0020843,1.7458816,1459.0,1459.0
1461.0,0.20168488899999998,0.200493458,3.2905803,2.3005035,1.8827081,1461.0,1461.0
1463.0,0.209847037,0.20850056,3.1462963,3.164419,2.252965,1463.0,1463.0
1465.0,0.21066322199999998,0.20918640800000002,2.9188185,4.1020436,2.558037,1465.0,1465.0
1467.0,0.196902926,0.19511751800000002,2.1276674,2.9981084,1.9046336,1467.0,1467.0
1469.0,0.20125129600000002,0.199760501,2.53492,2.9198368,2.288013,1469.0,1469.0
1471.0,0.21405766699999998,0.212907999,4.257898,3.5427754,3.49189,1471.0,1471.0
1473.0,0.195739407,0.194678298,3.5326104,1.9764057,2.8344684,1473.0,1473.0
1475.0,0.194973222,0.19352551899999998,3.200087,2.2670627,1.5968399,1475.0,1475.0
1477.0,0.201330037,0.199752188,2.163498,2.433766,2.015284,1477.0,1477.0
1479.0,0.211789222,0.2088899,2.6338387,5.1260185,1.9380499,1479.0,1479.0
1481.0,0.20553711100000002,0.203907457,2.352378,4.157886,2.8146346,1481.0,1481.0
1483.0,0.206283185,0.204882885,2.700513,3.4355996,2.3964603,1483.0,1483.0
1485.0,0.20875903699999998,0.207681699,2.1583374,3.2619898,2.893689,1485.0,1485.0
1487.0,0.217239593,0.21612525,3.2757702,3.0234869,2.1858017,1487.0,1487.0
1493.0,0.222314222,0.220830583,3.4689183,3.9911413,2.8528395,1493.0,1493.0
